Batsmen,Team,Batting Style,Bowling Style,Playing Role,Image,Description
Frederik Andreas Klokker,Denmark,Left hand Bat,Wicketkeeper,Denmark,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/171500/171527.1.jpg","Freddie Klokker is a hard-hitting top-order wicketkeeper-batsman who made his debut for Denmark as a teenager and has remained in the side since. He first played at the 2001 ICC Trophy, and at the 2005 event he carried his bat for a career-best 138 not out against USA. After four years on the MCC groundstaff - longer than usual but Clive Radley, the head coach, admitted he was ""a bloody good bloke to have around"" -, in 2006 he made 40 in his only Championship appearance for Warwickshire, and in 2007 he moved to Derbyshire where he hit 100 not out on his debut at Cambridge. 
Martin Williamson August 2007
"
Sapan Mehta,Finland,Left hand Bat,Left arm Medium,Finland,,
Nathan Grant Collins,Finland,Right hand Bat,Right arm Offbreak,Finland,,
Aravind Kumar Mohan,Finland,Right hand Bat,Right arm Offbreak,Finland,,
Aniketh Pusthay,Finland,Right hand Bat,Right arm Medium,Finland,,
Amjad Sher,Finland,Right hand Bat,Right arm Medium,Finland,,
Vanraaj Singh Padhaal,Finland,Right hand Bat,Right arm Offbreak,Finland,,
Jonathan Oskari Pellervo Scamans,Finland,Right hand Bat,Wicketkeeper,Finland,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/134400/134464.1.jpg",
Peter Francis Gallagher,Finland,Right hand Bat,Right arm Offbreak,Wicketkeeper,,
Mahesh Balasaheb Tambe,Finland,Right hand Bat,Right arm Medium,Finland,,
Raaz Mohammad,Finland,Right hand Bat,Right arm Medium,Finland,,
Mohammad Asaduzzaman,Finland,Right hand Bat,Right arm Offbreak,Finland,,
Saran Aslam,Denmark,Right hand Bat,Right arm Medium,Denmark,,
Atif Rasheed,Finland,Right hand Bat,Right arm Medium,Finland,,
Matias Brasier,Finland,Right hand Bat,Right arm Medium fast,Finland,,
Balaji Avanish Pai,Gibraltar,Gibraltar,Gibraltar,,,
Mark Gouws,Gibraltar,Right hand Bat,Right arm Medium fast,Gibraltar,,
Louis Bruce,Gibraltar,Right hand Bat,Right arm Medium,Gibraltar,,
Kieron J Ferrary,Gibraltar,Right hand Bat,Right arm Offbreak,Gibraltar,,
Kenroy Nestor,Gibraltar,Right hand Bat,Right arm Fast,Gibraltar,,
Richard John Hatchman,Gibraltar,Right hand Bat,Right arm Medium,Middle order Batter,,
Andrew Reyes,Gibraltar,Right hand Bat,Right arm Medium,Gibraltar,,
Matthew Whelan,Gibraltar,Right hand Bat,Right arm Offbreak,Gibraltar,,
Gopal Chaturvedi,Malta,Right hand Bat,Right arm Offbreak,Top order Batter,,
Bikram Arora,Malta,Right hand Bat,Legbreak,Malta,,
Basil George,Malta,Right hand Bat,Right arm Medium fast,Malta,,
Heinrich Sebastian Gericke,Malta,Right hand Bat,Right arm Medium fast,Malta,,
Varun Prasath Thamotharam,Malta,Left hand Bat,Left arm Medium fast,Malta,,
Aaftab Alam Khan,Malta,Right hand Bat,Right arm Medium fast,Wicketkeeper Batter,,
Niraj Khanna,Malta,Right hand Bat,Right arm Offbreak,Malta,,
Bilal Muhammad Khan,Malta,Right hand Bat,Left arm Medium,Malta,,
Khaibar Deldar,Hungary,Right hand Bat,Right arm Medium,Hungary XI,,
Abhijeet Deepak Ahuja,Hungary,Marc Ahuja,Right hand Bat,Right arm Medium,,
Abhishek Deepak Ahuja,Hungary,Stan Ahuja,Right hand Bat,Right arm Offbreak,,
Zahir Safi Mohammed,Hungary,Zahir Safi,Right hand Bat,Right arm Medium,,
Harsh Vardhan Mandhyan,Hungary,Right hand Bat,Right arm Offbreak,Hungary XI,,
Abishek Kheterpal Raj,Hungary,Right hand Bat,Right arm Medium,Hungary XI,,
Ali Farasat,Hungary,Right hand Bat,Right arm Offbreak,Hungary,,
Asanka Gardi Weligamage,Hungary,Right hand Bat,Right arm Medium fast,Hungary,,
Samarth Bodha,Gibraltar,Right hand Bat,Right arm Medium,Gibraltar,,
Joseph Marples,Gibraltar,Right hand Bat,Wicketkeeper,Gibraltar,,
Ramesh Satheesan,Romania,Right hand Bat,Right arm Offbreak,Romania,,
Taranjeet Singh,Romania,Right hand Bat,Right arm Offbreak,Umpire,,
Ijaz Hussain,Romania,Right hand Bat,Right arm Medium fast,Romania,,
Sivakumar Periyalwar,Romania,Right hand Bat,Right arm Medium fast,Romania,,
Vasu Saini,Romania,Right hand Bat,Right arm Medium,Romania,,
Abdul Shakoor,Romania,Right hand Bat,Right arm Medium fast,Romania,,
Zeeshan Khan,Malta,Right hand Bat,Legbreak,Malta,,
Sabawoon Davizi,Czech Republic,Left hand Bat,Right arm Medium,Czech Republic,,
Dylan Steyn,Czech Republic,Left hand Bat,Czech Republic,Czech Republic,,
Vyshakh Jagannivasan,Czech Republic,Right hand Bat,Right arm Medium fast,Czech Republic,,
Sudesh Wickramasekara,Czech Republic,Right hand Bat,Right arm Medium fast,Czech Republic,,
Arun Ashokan,Czech Republic,Right hand Bat,Right arm Medium,Czech Republic,,
Sazib Bhuiyan,Czech Republic,Right hand Bat,Right arm Medium fast,Czech Republic,,
Ritik Tomar,Czech Republic,Right hand Bat,Right arm Medium fast,Czech Republic,,
Nikhil Advani,Gibraltar,Right hand Bat,Right arm Offbreak,Gibraltar,,
Richard Cunningham,Gibraltar,Right hand Bat,Right arm Offbreak,Gibraltar,,
Sandeep Achuparambil Mohandas,Hungary,Right hand Bat,Right arm Medium fast,Hungary,,
Gabor Torok,Hungary,Right hand Bat,Right arm Medium,Hungary,,
Hristo Lakov,Bulgaria,Chris Lakov,Right hand Bat,Right arm Fast,,
Prakash Mishra,Bulgaria,Right hand Bat,Right arm Medium,Bulgaria,,
Saim Hussain,Bulgaria,Left hand Bat,Right arm Medium,Bulgaria,,
Ishan Aravinda De Silva,Bulgaria,Right hand Bat,Right arm Medium,Umpire,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/310000/310022.1.jpg",
Omar Rassol,Bulgaria,Right hand Bat,Right arm Offbreak,Bulgaria,,
Asad Ali Rehemtulla,Bulgaria,Right hand Bat,Right arm Medium,Bulgaria,,
Delrick Vinu Varghese,Bulgaria,Right hand Bat,Right arm Medium fast,Bulgaria,,
Ahsan Khan,Bulgaria,Right hand Bat,Right arm Medium fast,Bulgaria,,
Jacob Albin,Bulgaria,Right hand Bat,Right arm Medium fast,Bulgaria,,
Ivaylo Katzarski,Bulgaria,Right hand Bat,Right arm Medium,Bulgaria,,
Samuel Sanish Mangat Stanislaus,Malta,Right hand Bat,Right arm Offbreak,Malta,,
Imran Ameer,Malta,Right hand Bat,Right arm Offbreak,Malta,,
Waseem Abbas,Malta,Right hand Bat,Right arm Fast,Malta,,
Sharan Ramakrishnan,Czech Republic,Left hand Bat,Right arm Medium fast,Czech Republic,,
Divyendra Singh,Czech Republic,Right hand Bat,Right arm Medium fast,Czech Republic,,
Satyajit Sengupta,Czech Republic,Right hand Bat,Right arm Medium,Middle order Batter,,
Kevin Chris D'Souza,Bulgaria,Right hand Bat,Right arm Offbreak,Bulgaria,,
Gaurav Mishra,Romania,Right hand Bat,Right arm Medium fast,Romania,,
Rajesh Kumar,Romania,Right hand Bat,Right arm Medium fast,Romania,,
Naveed Ahmed,Czech Republic,Right hand Bat,Right arm Offbreak,Czech Republic,,
Smit Jagdishkumar Patel,Czech Republic,Right hand Bat,Right arm Medium,Czech Republic,,
Satvik Nadigotla,Romania,Right hand Bat,Right arm Offbreak,Romania,,
Satyadeep Ashwathnarayana,Hungary,Right hand Bat,Right arm Medium,Wicketkeeper,,
Christian M Rocca,Gibraltar,Right hand Bat,Right arm Medium,Gibraltar,,
Amar Sharma,Malta,Right hand Bat,Right arm Offbreak,Malta,,
Regis Wiriranai Chakabva,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316627.png","A doughty wicketkeeper-batsman, Regis Chakabva's path in cricket took him through Highfields, Churchill, on to Takashinga, provincial cricket and eventually regular appearances in Zimbabwe's Twenty20, ODI and Test teams. At each level, Chakabva has improved his game and he is maturing into a fine batsman and tidy wicketkeeper."
Wessly Nyasha Madhevere,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/326500/326552.png",
Craig Richard Ervine,Zimbabwe,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316567.png","Few people in Zimbabwe cricket circles were surprised when Craig Ervine found his way into Zimbabwe colours. A stylish left-handed middle-order batsman, Ervine hails from a family with a strong cricketing tradition - his father and uncle both played first-class cricket, albeit briefly, in the late 1970s, his older brother Sean had a promising fledgling international career with Zimbabwe before heading to England to become a reliable cog in Hampshire's middle order, and even younger brother Ryan has turned out for the Southern Rocks franchise on occasion."
Sikandar Raza Butt,Zimbabwe,Right hand Bat,Right arm Offbreak,Batting Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316632.png","Sikandar Raza's story isn't that of your everyday international cricketer. He is not a teenage prodigy, nor is he someone who had a burning ambition to play for his country. He journeyed through from his adolescence to adulthood and stumbled upon the sport he sometimes played as a child, only to discover he is quite good at it."
Milton Shumba,Zimbabwe,Left hand Bat,Slow Left arm Orthodox,Top order Batter,,
Ryan Ponsonby Burl,Zimbabwe,Left hand Bat,Legbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321400/321488.png","Ryan Burl liked playing squash when he was at school, but his love of cricket - specifically, the team game's camaraderie - made him want to be an international cricketer. A left-hand lower-middle-order batter and occasional legspinner, Burl broke into the Zimbabwe side in 2017, and has also played in the BPL and Afghanistan's Shpageeza Cricket League."
Divan la Cock,Namibia,Right hand Bat,Legbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/350300/350303.png",
Zane Edward Green,Namibia,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/350300/350307.png",
David Wiese,Namibia,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322079.png","David Wiese joined a marked outflow of South Africa players into county cricket in the 2016-17 season when, at 31, he signed a three-year deal with Sussex, joining his compatriot Stiaan van Zyl. Wiese had not played international cricket since March 2016, and turned down a call-up for a home T20I series against Sri Lanka in making his decision to go Kolpak. "
Donald Tatenda Tiripano,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320312.png","A seam-bowling allrounder, Donald Tiripano is blessed with a tremendous work ethic and an eagerness to learn. These qualities have helped him to forge a career with the Mountaineers and earn national honours across all formats. "
Tony Tanaka Munyonga,Zimbabwe,Right hand Bat,Right arm Offbreak,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348594.png",
Luke Mafuwa Jongwe,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348593.png",
Brandon Anesu Mavuta,Zimbabwe,Right hand Bat,Legbreak,Allrounder,,
Harrison Lee Carlyon,Jersey,Right hand Bat,Right arm Offbreak,"SR Carlyon (uncle),","https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/257200/257242.1.jpg",
Nicholas Anthony Greenwood,Jersey,Right hand Bat,Jersey,Jersey,,
Asa Mark Tribe,Jersey,Right hand Bat,Right arm Offbreak,Top order Batter,,
Jonty William Jenner,Jersey,Right hand Bat,Right arm Offbreak,Jersey,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/244400/244467.1.jpg",
Julius Thomas Silvester Sumerauer,Jersey,Right hand Bat,Right arm Fast medium,Jersey,,
Dominic G Blampied,Jersey,Right hand Bat,Legbreak,Jersey,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/275700/275792.1.jpg",
Luke C Le Tissier,Guernsey,Right hand Bat,Right arm Offbreak,Guernsey,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/290800/290890.1.jpg",
Anthony Cameron Fisher Stokes,Guernsey,Right hand Bat,Slow Left arm Orthodox,MWR Stokes (brother),"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/290800/290891.1.jpg",
Charlie Brennan,Jersey,Right hand Bat,Right arm Medium fast,Jersey Under-19s,,
Jake Samuel Edward Dunford,Jersey,Right hand Bat,Wicketkeeper,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/244400/244459.1.jpg",
Helao Nafidi Ya France,Namibia,Right hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329700/329765.png","Called up to the Namibia Under-19 squad for the first time in 2007, Pikky Ya France played in the opening two games of the African Under-19 Championships but was then dropped. He had problems with his line when bowling and conceded nine wides in five overs. Neverthelss, he was part of the squad for the Under-19 World Cup in 2008 and eventually got his chance with the seniors against Gauteng in the 2010-11 CSA Provincial Three-Day Competition. He got more opportunities with Namibia in 2011, and was part of their squad for the Ireland tour in July. Alan Curr July 2011
"
Innocent Kaia,Zimbabwe,Right hand Bat,Legbreak,Opening Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348592.png",
Charles Walter Perchard,Jersey,Chuggy,Right hand Bat,Right arm Medium,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/244400/244453.1.jpg",
Richmond Mutumbami,Zimbabwe,Right hand Bat,Right arm Offbreak,Wicketkeeper,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/341600/341663.png",Slightly built Richmond Mutumbami is an aggressive middle-order wicketkeeper-batter who made his first-class debut as 17-year-old. He struggled in his first few seasons but began to find his feet as the Zimbabwe franchise system developed and he became a regular for Southern Rocks.
Brad Evans,Zimbabwe,Right hand Bat,Right arm Fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348500/348596.png",
Michael van Lingen,Namibia,Left hand Bat,Left arm Medium,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/350300/350305.png",
Tendai Larry Chatara,Zimbabwe,Right hand Bat,Right arm Fast medium,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316683.png","The first thing one notices when watching Tendai Chatara bowl is his curiously lopsided action, his left arm almost glued to his side as he rushes through the crease. But at the other end of that action there have been wickets - and lots of them. A tall, wiry fast bowler with appreciable pace and the ability to move the ball away from the right hander, Chatara has risen quickly to prominence since his first-class debut for Mountaineers in 2009. Naturally athletic, he had represented his home province of Manicaland in 200 and 400 metre events while in high school and soon found his calling in cricket."
Iqbal Hossain,Austria,Right hand Bat,Right arm Offbreak,Austria,,
Mark Simpson-Parker,Austria,Right hand Bat,Right arm Medium,Austria,,
Razmal Shigiwal,Austria,Right hand Bat,Right arm Medium,Austria,,
Ahsan Yousuf,Austria,Left hand Bat,Slow Left arm Orthodox,Austria,,
Mirza Ahsan,Austria,Right hand Bat,Right arm Offbreak,Austria,,
Shahil Momin,Austria,Left hand Bat,Slow Left arm Orthodox,Austria,,
Jaweed Sadran,Austria,Right hand Bat,Right arm Medium,Austria,,
Zeeshan Khan Kukihel,Hungary,Right hand Bat,Right arm Fast,Hungary XI,,
Ali Yalmaz,Hungary,Right hand Bat,Right arm Medium fast,Hungary,,
Kalum Akurugoda,Hungary,Right hand Bat,Right arm Medium,Hungary,,
Mark des Fontaine,Hungary,Right hand Bat,Right arm Medium,Hungary,,
Bhavani Prasad Adapaka,Hungary,Right hand Bat,Right arm Offbreak,Hungary,,
Mehar Partap Singh Cheema,Austria,Right hand Bat,Wicketkeeper,Austria,,
Abdullah Akbarjan,Austria,Left hand Bat,Slow Left arm Orthodox,Austria,,
Amit	Nathwani,Austria,Right hand Bat,Right arm Offbreak,Austria,,
Pramod Bhanuka Bandara Rajapaksa,Sri Lanka,Left hand Bat,Right arm Medium,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/340300/340306.png","An attacking left-handed batsman, Bhanuka Rajapaksa was selected for the 2010 Under-19 World Cup in New Zealand as one of the team's key batsmen. He lived upto his reputation, by finishing the leading run-scorer for his country with 253 runs. He had an excellent tour of Australia with the U-19 team in 2009, smashing 154 off 111 balls in a one-dayer and ended the series as the leading run-getter. He compares his batting style to Adam Gilchrist. His other sporting interests include squash and swimming.  Cricinfo Staff January 2010"
Ilandari Dewage Nuwan Thushara,Sri Lanka,Right hand Bat,Right arm Medium fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/343400/343442.gif",
David Andrew Warner,Australia,Lloyd,Left hand Bat,Legbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316589.png",David Warner's extraordinary batting feats in all three formats for Australia will forever be overshadowed by his role as the chief protagonist of the Newlands ball-tampering scandal of 2018 and his place as a central figure in Australian cricket's ensuing cultural crisis.
Mitchell Ross Marsh,Australia,Right hand Bat,Right arm Medium,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316612.png","Part of one of the most well-known family names in Australian cricket, Mitchell Marsh, an allrounder who can hit 140kph and hard-hitting middle-order batsman, has been an alluring prospect for Australia in all three formats but has struggled to cement his place at international level despite some outstanding performances on the big stage."
Jhye Avon Richardson,Australia,Right hand Bat,Right arm Fast,Bowler,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321591.png","Australia's much-vaunted fast bowling ""big three"" Pat Cummins, Josh Hazlewood and Mitchell Starc had a fourth member join the band in 2018-19 in Jhye Richardson. A small man with a whippy, fast arm action and an ability to swing the ball at speeds of 140kph he provides a different trajectory in all three formats. However, his impressive start was halted by a dislocated shoulder during an ODI against Pakistan in the UAE ruled him out of World Cup and Ashes contention in 2019 with further injury setbacks hitting his progress over the following years."
Sachin Mandy Gangareddy,Germany,Right hand Bat,Right arm Medium,Germany,,
Abdul Samad Stanikzai,Germany,Right hand Bat,Germany,Germany,,
Abdul-Shakoor Rahimzei,Germany,Right hand Bat,Right arm Offbreak,Germany,,
Walter Behr,Germany,Right hand Bat,Right arm Medium,Germany,,
Abrar Bilal,Austria,Right hand Bat,Wicketkeeper,Austria,,
Aqib Javed Iqbal,Austria,Right hand Bat,Right arm Medium,Austria,,
Sahel Zadran,Austria,Right hand Bat,Right arm Medium,Austria,,
Hardik Himanshu Pandya,India,Right hand Bat,Right arm Medium fast,Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319938.png","Hardik Pandya swears by living life king size and that exuberance finds expression in his powerful hitting in the middle order and brisk seam bowling. He first caught the eye with an unbeaten 31-ball 61 for Mumbai Indians against Kolkata Knight Riders in IPL 2015, but displayed greater consistency in the Syed Mushtaq Ali domestic T20 tournament in January 2016. He finished as the leading run-getter, for Baroda, with 377 runs in 10 innings at an average of 53.85. "
Krishnakumar Dinesh Karthik,India,Dinesh,Right hand Bat,Right arm Offbreak,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319934.png","Not many would forget the sight of Dinesh Karthik in India colours, horizontal on the ground, as he stumped Michael Vaughan in 2004. It was his first dismissal as a wicketkeeper for India, but his international career never really took off. Around the time he began churning out consistent runs in domestic cricket, India had MS Dhoni at the helm and behind the stumps, so there was very little Karthik could do. A man who was an integral part of a Test series victory over England in 2007, who showed he could open the batting in spicy conditions, just could not capitalise on his second chances. "
Quinton de Kock,South Africa,Left hand Bat,Wicketkeeper,Wicketkeeper Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316668.png","Quinton de Kock's fearless striking and handy glovework earned him comparisons to greats of the game like Adam Gilchrist and Mark Boucher early in his career. By 21, he shared the record for the most successive ODI centuries - three - before it was bettered by Kumar Sangakkara. A year later, he had established himself in all three formats for South Africa. "
Temba Bavuma,South Africa,Right hand Bat,Right arm Medium,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320300/320389.png","From the same street in Langa, a township outside Cape Town, where Thami Tsolekile and Malusi Siboto were raised, came Temba Bavuma. Unlike the wicketkeeper-batsman and medium-pacer, Bavuma is a specialist batsman and the first black African batsman picked in South Africa's Test squad. "
Dwaine Pretorius,South Africa,Right hand Bat,Right arm Medium fast,Bowling Allrounder,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322077.png","A late-blooming allrounder who swapped pace for precision because of knee injuries, Dwaine Pretorius offered awayswingers and lower-order runs to South Africa in the post-Kallis era."
Hendrik Erasmus van der Dussen,South Africa,Right hand Bat,Legbreak,Top order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322000/322070.png","Seeking opportunities wherever they might arise, Rassie van der Dussen had played cricket in South Africa, England, Ireland, Netherlands, Canada and the Caribbean before he finally caught the national selectors' eye and made his T20I debut against Zimbabwe in October 2018. Van der Dussen had also been part of South Africa A's tour to India earlier that year, and the accumulated effect of his experience in such a wide variety of conditions has made him a dynamic, adaptable batsman at the top of the order or in the middle.A naturally attacking batsman, van der Dussen has also been able to
translate his talents into long-format cricket and was top-scorer in South Africa's first-class domestic competition in 2017-18, as well as being Lions' vice-captain. But it was his success in cricket's shortest formats that made van der Dussen impossible to ignore.He was an integral part of the Vancouver Knights team that won the 2018 Global T20 Canada, after which he was recruited by St Kitts & Nevis Patriots in the Caribbean Premier League and capped the year by topping the batting charts with 469 runs at a strike rate of 138.75 in Jozi Stars' run to the inaugural Mzansi Super League title. Van der Dussen transitioned easily into international cricket, striking a fifty on T20I debut against Zimbabwe and following that up with 93 in his first ODI against Pakistan.Liam Brickhill"
David Andrew Miller,South Africa,Left hand Bat,Right arm Offbreak,Middle order Batter,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316655.png","A hard-hitting left-hander with a penchant for clearing the boundary, David Miller made famous the phrase ""If it's in the arc, it's out the park."" Miller is a self-styled finisher who is strong off the front and back foot and eager to swing his arms, as well as a gun fielder. "
Hamid Mahmood,Sweden,Right hand Bat,Slow Left arm Orthodox,Sweden,,
Umar Nawaz,Sweden,Right hand Bat,Right arm Medium,Sweden,,
Wynand Boshoff,Sweden,Right hand Bat,Sweden,Sweden,,
Abhijit Venkatesh,Sweden,Right hand Bat,Right arm Medium,Sweden,,
Azam Khalil,Sweden,Sweden,Sweden,,,
Samiallah Khalil,Sweden,Right hand Bat,Sweden Under-19s,Sweden Under-19s,,
Tasaduq Hussain,Sweden,Tas Qureshi,Right hand Bat,Right arm Medium,,
Liam Karlsson,Sweden,Right hand Bat,Right arm Medium fast,Sweden,,
Zaker Taqawi,Sweden,Left hand Bat,Sweden,Sweden,,
Baz Mohammad Ayubi,Sweden,Right hand Bat,Right arm Medium fast,Bowler,,
Lemar Momand,Sweden,Right hand Bat,Left arm Medium fast,Sweden,,
Ahmed Hamid Wardak,Germany,Right hand Bat,Left arm Medium,Germany,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/290800/290875.1.jpg",
Sajid Liaqat,Germany,Right hand Bat,Right arm Medium,Bowler,,
Armaan Randhawa,Austria,Austria,Austria,Austria Under-17s,,
Itibarshah Deedar,Austria,Right hand Bat,Right arm Medium,Austria,,
Khalid Ahmad Zahid,Sweden,Right hand Bat,Right arm Medium,Bowler,,
Ismaeel Zia,Sweden,Right hand Bat,Left arm Medium,Sweden,,
Muhammad Muneeb,Belgium,Left hand Bat,Right arm Offbreak,Belgium,,
Aziz Mohammad Babakrkhail,Belgium,Right hand Bat,Right arm Fast medium,Bowler,,
Saber Zakhil,Belgium,Right hand Bat,Right arm Fast,Bowler,,
Sheraz Mohammad Sheikh,Belgium,Right hand Bat,Slow Left arm Orthodox,Bowler,,
Ahmad Khalid Ahmadzai,Belgium,Right hand Bat,Right arm Medium,Belgium,,
Khalid Ahmadi,Belgium,Right hand Bat,Right arm Medium fast,Belgium,,
Mohammad Omid Mailk Khel,Belgium,Right hand Bat,Wicketkeeper,Belgium,,
Shagharai Sefat,Belgium,Right hand Bat,Right arm Medium,Belgium,,
Justin Shaju,Malta,Right hand Bat,Right arm Medium fast,Malta,,
Timothy C Barker,Luxembourg,Left hand Bat,J Barker (twin brother),J Barker,,
Girish Venkateswaran,Luxembourg,Right hand Bat,Right arm Medium fast,Opening Batter,,
Joost Mees,Luxembourg,Right hand Bat,Wicketkeeper,Luxembourg,,
Vikram Vijh,Luxembourg,Left hand Bat,Right arm Medium fast,Luxembourg,,
Shiv Karan Singh Gill,Luxembourg,Right hand Bat,Right arm Medium,Luxembourg,,
Anoop Orsu,Luxembourg,Luxembourg,Luxembourg,,,
William J Cope,Luxembourg,Right hand Bat,Right arm Medium,Luxembourg,,
Mohit Dixit,Luxembourg,Right hand Bat,Left arm Medium fast,Luxembourg,,
Atif Kamal,Luxembourg,Right hand Bat,Right arm Medium fast,Luxembourg,,
Faheem Nazir,Switzerland,Left hand Bat,Right arm Medium,Switzerland,,
Idrees Ul Haque,Switzerland,Right hand Bat,Switzerland,Switzerland,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/350300/350382.4.jpg",
Arjun Vinod,Switzerland,Switzerland,Switzerland,Switzerland Under-17s,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/332200/332245.png",
Aidan Andrews,Switzerland,Right hand Bat,Right arm Medium,Switzerland,,
Anser Mehmood,Switzerland,Right hand Bat,Right arm Offbreak,Top order Batter,,
Asad Mahmood,Switzerland,Right hand Bat,Right arm Offbreak,Switzerland,,
Nalinambika Kumar Aneesh Kumar,Switzerland,Left hand Bat,Slow Left arm Orthodox,Switzerland,,
Noorkhan Ahmedi,Switzerland,Right hand Bat,Right arm Medium fast,Switzerland,,
Ali Nayyer,Switzerland,Bowler,Switzerland,Switzerland,,
Ainsley Ndlovu,Zimbabwe,Right hand Bat,Slow Left arm Orthodox,Bowler,,
Shaheryar Butt,Belgium,Right hand Bat,Right arm Offbreak,Allrounder,,
Ryan Ricky Bastiansz,Malta,Left hand Bat,Right arm Medium,Malta,,
Jaison Jerome,Malta,Right hand Bat,Right arm Medium,Malta,,
